title,duration,duration_minutes,distance_km,distance_mi,type,coach,guest,training_plans,notes,source
Fly With Monas,00:20,20,4.00,2.49,Speed - Fartlek,Steve Moneghetti,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
No Time? Go Time!,00:20,20,4.00,2.49,Speed - Intervals,Becs Gentry,,HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Run & Train: Upper Body,00:20,20,4.00,2.49,Speed - Intervals,Cory Wharton-Malcolm,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Sprintervals,00:20,20,4.00,2.49,Speed - Intervals,Manni Ovola,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Runner Up,00:21,21,4.20,2.61,Speed - Hill,Blue Benadum,,5K; HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Rhythm and Roll,00:21,21,4.20,2.61,Speed - Intervals,Cory Wharton-Malcolm,,5K,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
"One Hard, One Easy.",00:22,22,4.40,2.73,Speed - Fartlek,Cory Wharton-Malcolm,,5K; HM,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Go Fast With Elaine,00:22,22,4.40,2.73,Speed - Intervals,Sally McRae,Elaine Thompson,5K,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Speed Run B4 The Half,00:22,22,4.40,2.73,Speed - Intervals,Chris Bennett,,HM,"Called ""The Speed Run Before..."" in the training plan.",https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Bring It Down,00:22,22,4.40,2.73,Speed - Tempo,Cory Wharton-Malcolm,,5K; 10K; HM; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Spicy Speed II With Bec,00:23,23,4.60,2.86,Speed - Intervals,Bec Wilcock,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Speed Run With Jes,00:25,25,5.00,3.11,Speed,Jes Woods,,,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
Next Speed Run,00:25,25,5.00,3.11,Speed - Intervals,Chris Bennett,,5K; 10K; M,,https://docs.google.com/spreadsheets/d/15YHmk24n6qN6jwY7TxuwOorMeiLXjwkvYe1n7CSqu98/gviz/tq?tqx=out:csv&sheet=Sheet1
